Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
水晶宫 vs 切尔西,1-1,0-1,澳*,0.91,-0.5,0.95,20250104223041
水晶宫 vs 切尔西,1-1,0-1,澳*,0.88,-0.5,0.98,20250104213154
水晶宫 vs 切尔西,1-1,0-1,澳*,0.84,-0.5,1.02,20250104204358
水晶宫 vs 切尔西,1-1,0-1,澳*,0.95,-0.5,0.91,20250104184510
水晶宫 vs 切尔西,1-1,0-1,澳*,0.92,-0.5,0.94,20250104103934
水晶宫 vs 切尔西,1-1,0-1,澳*,0.9,-0.5,0.96,20250102214557
水晶宫 vs 切尔西,1-1,0-1,澳*,0.97,-0.5,0.89,20241231071454
水晶宫 vs 切尔西,1-1,0-1,澳*,1.03,-0.5,0.83,20241230203859
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.89,-0.5,1.0,20250104225846
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.9,-0.5,0.99,20250104225501
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.91,-0.5,0.98,20250104224704
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.93,-0.5,0.96,20250104224506
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.92,-0.5,0.97,20250104224425
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.94,-0.5,0.95,20250104223836
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.93,-0.5,0.96,20250104222853
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.92,-0.5,0.97,20250104222458
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.91,-0.5,0.98,20250104222335
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.89,-0.5,1.0,20250104220646
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.88,-0.5,1.01,20250104220207
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.87,-0.5,1.02,20250104220004
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.86,-0.5,1.03,20250104214938
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.85,-0.5,1.04,20250104214704
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.84,-0.5,1.05,20250104214625
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.89,-0.5,1.0,20250104214059
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.9,-0.5,0.99,20250104213137
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.91,-0.5,0.98,20250104212937
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.9,-0.5,0.99,20250104212853
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.91,-0.5,0.98,20250104212608
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.87,-0.5,1.02,20250104212450
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.86,-0.5,1.03,20250104211423
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.85,-0.5,1.04,20250104205926
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.86,-0.5,1.03,20250104204943
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.87,-0.5,1.02,20250104204818
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.85,-0.5,1.04,20250104204619
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.86,-0.5,1.03,20250104204537
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.85,-0.5,1.04,20250104204249
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.89,-0.5,1.0,20250104202013
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.88,-0.5,1.01,20250104201930
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.9,-0.5,0.99,20250104201352
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.89,-0.5,1.0,20250104201306
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.87,-0.5,1.02,20250104201222
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.89,-0.5,1.0,20250104201140
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.91,-0.5,0.98,20250104201100
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.95,-0.5,0.94,20250104195117
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.94,-0.5,0.95,20250104194826
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.98,-0.5,0.91,20250104194034
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.97,-0.5,0.92,20250104190721
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.98,-0.5,0.91,20250104185857
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.97,-0.5,0.92,20250104185347
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.96,-0.5,0.93,20250104181126
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.95,-0.5,0.94,20250104175726
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.96,-0.5,0.93,20250104175601
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.95,-0.5,0.94,20250104174813
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.96,-0.5,0.93,20250104172757
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.95,-0.5,0.94,20250104171046
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.93,-0.5,0.96,20250104163332
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.94,-0.5,0.95,20250104163248
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.93,-0.5,0.96,20250104154727
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.95,-0.5,0.94,20250104154643
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.93,-0.5,0.96,20250104145541
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.92,-0.5,0.97,20250104145457
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.94,-0.5,0.95,20250104143807
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.95,-0.5,0.94,20250104142203
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.96,-0.5,0.93,20250104142122
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.95,-0.5,0.94,20250104135556
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.96,-0.5,0.93,20250104135517
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.95,-0.5,0.94,20250104130036
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.94,-0.5,0.95,20250104103918
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.93,-0.5,0.96,20250104053442
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.93,-0.5,0.95,20250104024408
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.94,-0.5,0.94,20250103233804
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.93,-0.5,0.95,20250103164637
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.92,-0.5,0.96,20250102212547
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.94,-0.5,0.94,20250102211604
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.92,-0.5,0.96,20250102205622
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.95,-0.5,0.93,20250102191403
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.98,-0.5,0.9,20241231060417
水晶宫 vs 切尔西,1-1,0-1,Crow*,1.04,-0.5,0.84,20241228011211
水晶宫 vs 切尔西,1-1,0-1,Crow*,0.98,-0.5,0.9,20241227221854
水晶宫 vs 切尔西,1-1,0-1,36*,0.92,-0.5,0.98,20250104224624
水晶宫 vs 切尔西,1-1,0-1,36*,0.94,-0.5,0.99,20250104223442
水晶宫 vs 切尔西,1-1,0-1,36*,0.9,-0.5,1.03,20250104221745
水晶宫 vs 切尔西,1-1,0-1,36*,0.89,-0.5,1.04,20250104221539
水晶宫 vs 切尔西,1-1,0-1,36*,0.9,-0.5,1.03,20250104220351
水晶宫 vs 切尔西,1-1,0-1,36*,0.87,-0.5,1.06,20250104215114
水晶宫 vs 切尔西,1-1,0-1,36*,0.86,-0.5,1.07,20250104214922
水晶宫 vs 切尔西,1-1,0-1,36*,0.9,-0.5,1.03,20250104214245
水晶宫 vs 切尔西,1-1,0-1,36*,0.91,-0.5,1.02,20250104212932
水晶宫 vs 切尔西,1-1,0-1,36*,0.86,-0.5,1.07,20250104205555
水晶宫 vs 切尔西,1-1,0-1,36*,0.87,-0.5,1.06,20250104205027
水晶宫 vs 切尔西,1-1,0-1,36*,0.86,-0.5,1.07,20250104204835
水晶宫 vs 切尔西,1-1,0-1,36*,0.89,-0.5,1.04,20250104204245
水晶宫 vs 切尔西,1-1,0-1,36*,0.9,-0.5,1.03,20250104201539
水晶宫 vs 切尔西,1-1,0-1,36*,0.91,-0.5,1.02,20250104201344
水晶宫 vs 切尔西,1-1,0-1,36*,0.96,-0.5,0.97,20250104200204
水晶宫 vs 切尔西,1-1,0-1,36*,0.95,-0.5,0.98,20250104195210
水晶宫 vs 切尔西,1-1,0-1,36*,0.94,-0.5,0.99,20250104195025
水晶宫 vs 切尔西,1-1,0-1,36*,0.98,-0.5,0.95,20250104184038
水晶宫 vs 切尔西,1-1,0-1,36*,0.97,-0.5,0.96,20250104181131
水晶宫 vs 切尔西,1-1,0-1,36*,0.96,-0.5,0.97,20250104175650
水晶宫 vs 切尔西,1-1,0-1,36*,0.95,-0.5,0.98,20250104160018
水晶宫 vs 切尔西,1-1,0-1,36*,0.94,-0.5,0.99,20250104153606
水晶宫 vs 切尔西,1-1,0-1,36*,0.95,-0.5,0.98,20250104124717
水晶宫 vs 切尔西,1-1,0-1,36*,0.93,-0.5,0.97,20250104122836
水晶宫 vs 切尔西,1-1,0-1,36*,0.95,-0.5,0.95,20250104104310
水晶宫 vs 切尔西,1-1,0-1,36*,0.93,-0.5,0.97,20250104093615
水晶宫 vs 切尔西,1-1,0-1,36*,0.95,-0.5,0.95,20250104054643
水晶宫 vs 切尔西,1-1,0-1,36*,0.93,-0.5,0.97,20250104035031
水晶宫 vs 切尔西,1-1,0-1,36*,0.95,-0.5,0.95,20250103233720
水晶宫 vs 切尔西,1-1,0-1,36*,0.93,-0.5,0.97,20250103232750
水晶宫 vs 切尔西,1-1,0-1,36*,0.92,-0.5,0.98,20250103223417
水晶宫 vs 切尔西,1-1,0-1,36*,0.95,-0.5,0.95,20250103202225
水晶宫 vs 切尔西,1-1,0-1,36*,0.93,-0.5,0.97,20250103191158
水晶宫 vs 切尔西,1-1,0-1,36*,0.92,-0.5,0.98,20250103074058
水晶宫 vs 切尔西,1-1,0-1,36*,0.95,-0.5,0.95,20250103034900
水晶宫 vs 切尔西,1-1,0-1,36*,0.93,-0.5,0.97,20250103003552
水晶宫 vs 切尔西,1-1,0-1,36*,0.95,-0.5,0.95,20250102232409
水晶宫 vs 切尔西,1-1,0-1,36*,0.92,-0.5,0.98,20250102222640
水晶宫 vs 切尔西,1-1,0-1,36*,0.95,-0.5,0.95,20250102172621
水晶宫 vs 切尔西,1-1,0-1,36*,0.98,-0.5,0.92,20250102130529
水晶宫 vs 切尔西,1-1,0-1,36*,0.99,-0.5,0.91,20250102044936
水晶宫 vs 切尔西,1-1,0-1,36*,0.98,-0.5,0.92,20250102023420
水晶宫 vs 切尔西,1-1,0-1,36*,1.0,-0.5,0.9,20250101212328
水晶宫 vs 切尔西,1-1,0-1,36*,0.99,-0.5,0.91,20241231201241
水晶宫 vs 切尔西,1-1,0-1,36*,0.98,-0.5,0.92,20241231192551
水晶宫 vs 切尔西,1-1,0-1,36*,1.0,-0.5,0.9,20241231060625
水晶宫 vs 切尔西,1-1,0-1,36*,1.02,-0.5,0.88,20241231045944
水晶宫 vs 切尔西,1-1,0-1,36*,1.03,-0.5,0.87,20241230101946
水晶宫 vs 切尔西,1-1,0-1,36*,1.04,-0.5,0.86,20241230033448
水晶宫 vs 切尔西,1-1,0-1,36*,1.05,-0.5,0.85,20241230012133
水晶宫 vs 切尔西,1-1,0-1,36*,1.04,-0.5,0.86,20241229040222
水晶宫 vs 切尔西,1-1,0-1,36*,1.06,-0.5,0.84,20241229030318
水晶宫 vs 切尔西,1-1,0-1,36*,1.05,-0.5,0.85,20241228014922
水晶宫 vs 切尔西,1-1,0-1,36*,1.03,-0.5,0.87,20241227224432
水晶宫 vs 切尔西,1-1,0-1,36*,1.05,-0.5,0.85,20241227055550
水晶宫 vs 切尔西,1-1,0-1,36*,0.84,-0.75,1.06,20241227001126
水晶宫 vs 切尔西,1-1,0-1,易*,0.9,-0.5,1.02,20250104225808
水晶宫 vs 切尔西,1-1,0-1,易*,0.91,-0.5,0.99,20250104225718
水晶宫 vs 切尔西,1-1,0-1,易*,0.9,-0.5,1.02,20250104225307
水晶宫 vs 切尔西,1-1,0-1,易*,0.91,-0.5,0.99,20250104225117
水晶宫 vs 切尔西,1-1,0-1,易*,0.92,-0.5,1.0,20250104224957
水晶宫 vs 切尔西,1-1,0-1,易*,0.92,-0.5,0.98,20250104224856
水晶宫 vs 切尔西,1-1,0-1,易*,0.91,-0.5,1.01,20250104224706
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.96,20250104224523
水晶宫 vs 切尔西,1-1,0-1,易*,0.93,-0.5,0.99,20250104224318
水晶宫 vs 切尔西,1-1,0-1,易*,0.95,-0.5,0.95,20250104224158
水晶宫 vs 切尔西,1-1,0-1,易*,0.91,-0.5,0.99,20250104223958
水晶宫 vs 切尔西,1-1,0-1,易*,0.92,-0.5,1.0,20250104223518
水晶宫 vs 切尔西,1-1,0-1,易*,0.93,-0.5,0.99,20250104223032
水晶宫 vs 切尔西,1-1,0-1,易*,0.93,-0.5,0.98,20250104222953
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.96,20250104222913
水晶宫 vs 切尔西,1-1,0-1,易*,0.91,-0.5,1.01,20250104222752
水晶宫 vs 切尔西,1-1,0-1,易*,0.92,-0.5,0.99,20250104222633
水晶宫 vs 切尔西,1-1,0-1,易*,0.93,-0.5,0.97,20250104222552
水晶宫 vs 切尔西,1-1,0-1,易*,0.93,-0.5,0.99,20250104222516
水晶宫 vs 切尔西,1-1,0-1,易*,0.89,-0.5,1.03,20250104221832
水晶宫 vs 切尔西,1-1,0-1,易*,0.88,-0.5,1.04,20250104220705
水晶宫 vs 切尔西,1-1,0-1,易*,0.9,-0.5,1.0,20250104220627
水晶宫 vs 切尔西,1-1,0-1,易*,0.88,-0.5,1.02,20250104220505
水晶宫 vs 切尔西,1-1,0-1,易*,0.89,-0.5,1.02,20250104220427
水晶宫 vs 切尔西,1-1,0-1,易*,0.89,-0.5,1.01,20250104220341
水晶宫 vs 切尔西,1-1,0-1,易*,0.89,-0.5,1.03,20250104220102
水晶宫 vs 切尔西,1-1,0-1,易*,0.85,-0.5,1.05,20250104215820
水晶宫 vs 切尔西,1-1,0-1,易*,0.87,-0.5,1.03,20250104215259
水晶宫 vs 切尔西,1-1,0-1,易*,0.86,-0.5,1.06,20250104215219
水晶宫 vs 切尔西,1-1,0-1,易*,0.86,-0.5,1.04,20250104215020
水晶宫 vs 切尔西,1-1,0-1,易*,0.85,-0.5,1.07,20250104214940
水晶宫 vs 切尔西,1-1,0-1,易*,0.85,-0.5,1.06,20250104214900
水晶宫 vs 切尔西,1-1,0-1,易*,0.85,-0.5,1.05,20250104214820
水晶宫 vs 切尔西,1-1,0-1,易*,0.87,-0.5,1.03,20250104214739
水晶宫 vs 切尔西,1-1,0-1,易*,0.88,-0.5,1.02,20250104214619
水晶宫 vs 切尔西,1-1,0-1,易*,0.89,-0.5,1.02,20250104214459
水晶宫 vs 切尔西,1-1,0-1,易*,0.89,-0.5,1.01,20250104214134
水晶宫 vs 切尔西,1-1,0-1,易*,0.91,-0.5,1.01,20250104214015
水晶宫 vs 切尔西,1-1,0-1,易*,0.9,-0.5,1.02,20250104213734
水晶宫 vs 切尔西,1-1,0-1,易*,0.89,-0.5,1.01,20250104213329
水晶宫 vs 切尔西,1-1,0-1,易*,0.91,-0.5,1.01,20250104213249
水晶宫 vs 切尔西,1-1,0-1,易*,0.9,-0.5,1.0,20250104213209
水晶宫 vs 切尔西,1-1,0-1,易*,0.9,-0.5,1.01,20250104213049
水晶宫 vs 切尔西,1-1,0-1,易*,0.91,-0.5,0.99,20250104212849
水晶宫 vs 切尔西,1-1,0-1,易*,0.86,-0.5,1.06,20250104211407
水晶宫 vs 切尔西,1-1,0-1,易*,0.85,-0.5,1.05,20250104210923
水晶宫 vs 切尔西,1-1,0-1,易*,0.85,-0.5,1.06,20250104210642
水晶宫 vs 切尔西,1-1,0-1,易*,0.86,-0.5,1.04,20250104205034
水晶宫 vs 切尔西,1-1,0-1,易*,0.87,-0.5,1.03,20250104204954
水晶宫 vs 切尔西,1-1,0-1,易*,0.86,-0.5,1.04,20250104204834
水晶宫 vs 切尔西,1-1,0-1,易*,0.85,-0.5,1.06,20250104204433
水晶宫 vs 切尔西,1-1,0-1,易*,0.86,-0.5,1.05,20250104204354
水晶宫 vs 切尔西,1-1,0-1,易*,0.89,-0.5,1.02,20250104202543
水晶宫 vs 切尔西,1-1,0-1,易*,0.88,-0.5,1.01,20250104202141
水晶宫 vs 切尔西,1-1,0-1,易*,0.89,-0.5,1.01,20250104202101
水晶宫 vs 切尔西,1-1,0-1,易*,0.87,-0.5,1.02,20250104201621
水晶宫 vs 切尔西,1-1,0-1,易*,0.9,-0.5,1.0,20250104201541
水晶宫 vs 切尔西,1-1,0-1,易*,0.89,-0.5,1.02,20250104201421
水晶宫 vs 切尔西,1-1,0-1,易*,0.88,-0.5,1.02,20250104201216
水晶宫 vs 切尔西,1-1,0-1,易*,0.91,-0.5,1.0,20250104201136
水晶宫 vs 切尔西,1-1,0-1,易*,0.95,-0.5,0.95,20250104200211
水晶宫 vs 切尔西,1-1,0-1,易*,0.95,-0.5,0.96,20250104195852
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.95,20250104195611
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.97,20250104195155
水晶宫 vs 切尔西,1-1,0-1,易*,0.95,-0.5,0.95,20250104195115
水晶宫 vs 切尔西,1-1,0-1,易*,0.93,-0.5,0.96,20250104195035
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.96,20250104194954
水晶宫 vs 切尔西,1-1,0-1,易*,0.93,-0.5,0.98,20250104194914
水晶宫 vs 切尔西,1-1,0-1,易*,0.96,-0.5,0.95,20250104194554
水晶宫 vs 切尔西,1-1,0-1,易*,0.98,-0.5,0.92,20250104193950
水晶宫 vs 切尔西,1-1,0-1,易*,0.97,-0.5,0.94,20250104192858
水晶宫 vs 切尔西,1-1,0-1,易*,0.96,-0.5,0.93,20250104191812
水晶宫 vs 切尔西,1-1,0-1,易*,0.97,-0.5,0.94,20250104191534
水晶宫 vs 切尔西,1-1,0-1,易*,0.96,-0.5,0.93,20250104191246
水晶宫 vs 切尔西,1-1,0-1,易*,0.97,-0.5,0.94,20250104190646
水晶宫 vs 切尔西,1-1,0-1,易*,0.97,-0.5,0.93,20250104190606
水晶宫 vs 切尔西,1-1,0-1,易*,0.97,-0.5,0.94,20250104190000
水晶宫 vs 切尔西,1-1,0-1,易*,0.96,-0.5,0.93,20250104185722
水晶宫 vs 切尔西,1-1,0-1,易*,0.97,-0.5,0.94,20250104185520
水晶宫 vs 切尔西,1-1,0-1,易*,0.97,-0.5,0.93,20250104185400
水晶宫 vs 切尔西,1-1,0-1,易*,0.96,-0.5,0.95,20250104185200
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.97,20250104184920
水晶宫 vs 切尔西,1-1,0-1,易*,0.95,-0.5,0.94,20250104184840
水晶宫 vs 切尔西,1-1,0-1,易*,0.96,-0.5,0.95,20250104184443
水晶宫 vs 切尔西,1-1,0-1,易*,0.95,-0.5,0.94,20250104183917
水晶宫 vs 切尔西,1-1,0-1,易*,0.97,-0.5,0.94,20250104183757
水晶宫 vs 切尔西,1-1,0-1,易*,0.95,-0.5,0.96,20250104181547
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.95,20250104181507
水晶宫 vs 切尔西,1-1,0-1,易*,0.96,-0.5,0.94,20250104181221
水晶宫 vs 切尔西,1-1,0-1,易*,0.96,-0.5,0.95,20250104181021
水晶宫 vs 切尔西,1-1,0-1,易*,0.95,-0.5,0.96,20250104180901
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.95,20250104180341
水晶宫 vs 切尔西,1-1,0-1,易*,0.95,-0.5,0.97,20250104175901
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.96,20250104175821
水晶宫 vs 切尔西,1-1,0-1,易*,0.95,-0.5,0.95,20250104174531
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.97,20250104173449
水晶宫 vs 切尔西,1-1,0-1,易*,0.93,-0.5,0.96,20250104173409
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.97,20250104172923
水晶宫 vs 切尔西,1-1,0-1,易*,0.96,-0.5,0.94,20250104172843
水晶宫 vs 切尔西,1-1,0-1,易*,0.93,-0.5,0.96,20250104172443
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.97,20250104171249
水晶宫 vs 切尔西,1-1,0-1,易*,0.95,-0.5,0.95,20250104171050
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.97,20250104164157
水晶宫 vs 切尔西,1-1,0-1,易*,0.93,-0.5,0.96,20250104163757
水晶宫 vs 切尔西,1-1,0-1,易*,0.94,-0.5,0.97,20250104163637
水晶宫 vs 切尔西,1-1,0-1,易*,0.93,-0.5,0.98,20250104160625
水晶宫 vs 切尔西,1-1,0-1,易*,0.92,-0.5,0.97,20250104160340
水晶宫 vs 切尔西,1-1,0-1,易*,0.93,-0.5,0.98,20250104160220
水晶宫 vs 切尔西,1-1,0-1,易*,0.95,-0.5,0.96,20250104160059
