Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
莱加内斯 vs 巴列卡诺,0-1,0-0,澳*,1.16,0.0,0.7,20250131210040
莱加内斯 vs 巴列卡诺,0-1,0-0,澳*,1.1,0.0,0.76,20250127215912
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.82,-0.25,1.07,20250201035404
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.83,-0.25,1.06,20250201035122
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.81,-0.25,1.08,20250201034735
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.82,-0.25,1.07,20250201034346
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.81,-0.25,1.08,20250201033108
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.8,-0.25,1.09,20250201033035
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.81,-0.25,1.08,20250201032527
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.82,-0.25,1.07,20250201031940
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.83,-0.25,1.06,20250201031759
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.85,-0.25,1.04,20250201031543
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.84,-0.25,1.05,20250201031509
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.83,-0.25,1.06,20250201031434
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.8,-0.25,1.09,20250201030707
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.81,-0.25,1.08,20250201022927
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.82,-0.25,1.07,20250201021842
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.8,-0.25,1.09,20250201010848
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.79,-0.25,1.11,20250201005054
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.8,-0.25,1.09,20250131234448
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.81,-0.25,1.08,20250131205842
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.8,-0.25,1.09,20250131205804
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,0.77,-0.25,1.13,20250131120259
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,1.12,0.0,0.78,20250131100943
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,1.13,0.0,0.77,20250131040633
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,1.12,0.0,0.77,20250127035615
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,1.03,0.0,0.85,20250123170529
莱加内斯 vs 巴列卡诺,0-1,0-0,Crow*,1.01,0.0,0.87,20250120072200
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.83,-0.25,1.07,20250201034553
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.84,-0.25,1.09,20250201032208
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.85,-0.25,1.08,20250201031929
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.86,-0.25,1.07,20250201031654
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.82,-0.25,1.11,20250201030353
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.83,-0.25,1.1,20250201022148
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.82,-0.25,1.11,20250131234213
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.83,-0.25,1.1,20250131223558
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.82,-0.25,1.11,20250131221901
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.83,-0.25,1.1,20250131220516
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.82,-0.25,1.11,20250131214721
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.83,-0.25,1.1,20250131211246
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.84,-0.25,1.09,20250131210650
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.83,-0.25,1.1,20250131210321
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.84,-0.25,1.09,20250131210029
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.82,-0.25,1.11,20250131205745
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.79,-0.25,1.15,20250131203959
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,1.15,0.0,0.79,20250131150706
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.79,-0.25,1.15,20250131114942
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.8,-0.25,1.14,20250131112835
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,0.79,-0.25,1.11,20250131074223
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,1.11,0.0,0.79,20250131073918
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,1.1,0.0,0.8,20250131061559
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,1.11,0.0,0.79,20250131055057
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,1.13,0.0,0.78,20250131040906
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,1.11,0.0,0.79,20250129064450
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,1.13,0.0,0.78,20250127113001
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,1.11,0.0,0.79,20250127043031
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,1.08,0.0,0.82,20250126203836
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,1.04,0.0,0.86,20250123171414
莱加内斯 vs 巴列卡诺,0-1,0-0,36*,1.03,0.0,0.87,20250120142041
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.84,-0.25,1.09,20250201035422
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.85,-0.25,1.08,20250201035213
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.83,-0.25,1.11,20250201034722
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.84,-0.25,1.09,20250201034421
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.83,-0.25,1.11,20250201032550
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.85,-0.25,1.09,20250201032151
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.84,-0.25,1.09,20250201032112
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.86,-0.25,1.08,20250201032022
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.85,-0.25,1.08,20250201031822
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.87,-0.25,1.06,20250201031541
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.82,-0.25,1.12,20250201030741
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.83,-0.25,1.11,20250201022929
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.84,-0.25,1.1,20250201022248
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,0.84,-0.25,1.09,20250201022000
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.24,0.0,0.73,20250201020559
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.22,0.0,0.74,20250201011418
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.24,0.0,0.73,20250131234341
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.21,0.0,0.65,20250131224107
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.16,0.0,0.68,20250131221743
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.21,0.0,0.65,20250131214000
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.24,0.0,0.73,20250131212559
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.22,0.0,0.74,20250131205828
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.11,0.0,0.7,20250131204631
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.18,0.0,0.77,20250131201052
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.16,0.0,0.79,20250131150648
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.11,0.0,0.7,20250131120614
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.18,0.0,0.77,20250131120333
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.11,0.0,0.7,20250131114904
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.14,0.0,0.8,20250131100924
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.16,0.0,0.68,20250131080022
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.11,0.0,0.8,20250131061621
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.12,0.0,0.79,20250131053529
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.15,0.0,0.79,20250131053429
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.14,0.0,0.78,20250131040912
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.17,0.0,0.78,20250131040612
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.14,0.0,0.78,20250130163731
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.12,0.0,0.79,20250130162708
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.14,0.0,0.78,20250130120622
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.12,0.0,0.79,20250129062908
莱加内斯 vs 巴列卡诺,0-1,0-0,易*,1.14,0.0,0.78,20250127132607
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.83,-0.25,1.05,20250201035910
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.82,-0.25,1.06,20250201035633
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.83,-0.25,1.05,20250201035321
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.82,-0.25,1.06,20250201035027
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.81,-0.25,1.07,20250201034824
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.82,-0.25,1.06,20250201034124
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.83,-0.25,1.05,20250201033211
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.82,-0.25,1.06,20250201032355
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.83,-0.25,1.05,20250201032133
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.81,-0.25,1.07,20250201031530
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.8,-0.25,1.09,20250201030753
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.8,-0.25,1.08,20250201025642
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.81,-0.25,1.07,20250201022208
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.8,-0.25,1.09,20250131234434
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.8,-0.25,1.08,20250131231415
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.8,-0.25,1.09,20250131220300
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.79,-0.25,1.1,20250131214749
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.8,-0.25,1.08,20250131211718
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.81,-0.25,1.07,20250131210449
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.8,-0.25,1.09,20250131210318
莱加内斯 vs 巴列卡诺,0-1,0-0,伟*,0.78,-0.25,1.11,20250131210143
