Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
科莫 vs 乌迪内斯,4-1,2-0,澳*,0.82,0.25,1.04,20250121025821
科莫 vs 乌迪内斯,4-1,2-0,澳*,0.9,0.25,0.96,20250121021253
科莫 vs 乌迪内斯,4-1,2-0,澳*,1.12,0.5,0.74,20250120213833
科莫 vs 乌迪内斯,4-1,2-0,澳*,1.09,0.5,0.77,20250120151924
科莫 vs 乌迪内斯,4-1,2-0,澳*,1.12,0.5,0.74,20250118071158
科莫 vs 乌迪内斯,4-1,2-0,澳*,1.06,0.5,0.8,20250113232544
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.84,0.25,1.05,20250121034225
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.83,0.25,1.06,20250121032921
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.84,0.25,1.05,20250121032644
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.82,0.25,1.07,20250121032541
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.83,0.25,1.06,20250121031638
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.82,0.25,1.07,20250121031607
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.83,0.25,1.06,20250121030915
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.84,0.25,1.05,20250121025630
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.85,0.25,1.04,20250121025558
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.87,0.25,1.02,20250121024241
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.86,0.25,1.03,20250121023855
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.88,0.25,1.01,20250121023545
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.87,0.25,1.02,20250121023407
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.91,0.25,0.98,20250121022108
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.9,0.25,0.99,20250121021651
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.91,0.25,0.98,20250121021411
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.9,0.25,0.99,20250121021339
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.91,0.25,0.98,20250121021307
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.92,0.25,0.97,20250121021235
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.91,0.25,0.98,20250121021201
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.9,0.25,0.99,20250121021129
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.87,0.25,1.02,20250121021056
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.86,0.25,1.03,20250121020919
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.87,0.25,1.02,20250121020848
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.86,0.25,1.03,20250121015043
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.85,0.25,1.04,20250121013826
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.86,0.25,1.03,20250121013754
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.85,0.25,1.04,20250121013617
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.86,0.25,1.03,20250121005724
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.85,0.25,1.04,20250120234907
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.84,0.25,1.05,20250120233347
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.85,0.25,1.04,20250120225903
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.86,0.25,1.03,20250120225433
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.88,0.25,1.01,20250120225401
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.87,0.25,1.02,20250120225223
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.88,0.25,1.01,20250120225150
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.87,0.25,1.02,20250120224018
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.86,0.25,1.03,20250120223944
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.85,0.25,1.04,20250120222329
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.84,0.25,1.05,20250120222254
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.85,0.25,1.04,20250120220527
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.84,0.25,1.05,20250120213004
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.83,0.25,1.06,20250120182430
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.84,0.25,1.05,20250120181825
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.85,0.25,1.04,20250120181751
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.83,0.25,1.06,20250120181220
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.82,0.25,1.07,20250120180324
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.83,0.25,1.06,20250120180250
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.81,0.25,1.08,20250120173754
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.82,0.25,1.07,20250120142358
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.81,0.25,1.08,20250120142324
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.82,0.25,1.07,20250120142008
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.84,0.25,1.05,20250120141437
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.83,0.25,1.06,20250120141404
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.84,0.25,1.05,20250120140727
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.85,0.25,1.04,20250120135622
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.84,0.25,1.05,20250120135549
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.85,0.25,1.04,20250120121627
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.86,0.25,1.03,20250120120231
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.87,0.25,1.02,20250120030453
科莫 vs 乌迪内斯,4-1,2-0,Crow*,0.87,0.25,1.01,20250117094337
